transfermarktLeagueID,transfermarktLeagueURL
SLO1,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/SLO1
IN1L,https://www.transfermarkt.com/shopee-liga-1/startseite/wettbewerb/IN1L
FI2,https://www.transfermarkt.com/ykkonen/startseite/wettbewerb/FI2
BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2
JAP2,https://www.transfermarkt.com/j2-league/startseite/wettbewerb/JAP2
KR1,https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1
WER1,https://www.transfermarkt.com/vysheyshaya-liga/startseite/wettbewerb/WER1
A4S,https://www.transfermarkt.com/salzburger-liga/startseite/wettbewerb/A4S
NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2
GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1
FR3,https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3
CLPD,https://www.transfermarkt.com/campeonato-plan-vital-primera-division/startseite/wettbewerb/CLPD
THA1,https://www.transfermarkt.com/thai-league/startseite/wettbewerb/THA1
PO2,https://www.transfermarkt.com/liga-pro/startseite/wettbewerb/PO2
TR2,https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2
MYS1,https://www.transfermarkt.com/malaysia-super-league/startseite/wettbewerb/MYS1
PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1
NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1
MAL1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/MAL1
TS1,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/TS1
BEL3,https://www.transfermarkt.com/eerste-klasse-amateurs/startseite/wettbewerb/BEL3
IS1,https://www.transfermarkt.com/pepsi-max-deild/startseite/wettbewerb/IS1
MAZ1,https://www.transfermarkt.com/prva-makedonska-fudbalska-liga/startseite/wettbewerb/MAZ1
ALB1,https://www.transfermarkt.com/kategoria-superiore/startseite/wettbewerb/ALB1
ARG2,https://www.transfermarkt.com/primera-nacional/startseite/wettbewerb/ARG2
BGD1,https://www.transfermarkt.com/bangladesh-premier-league/startseite/wettbewerb/BGD1
LI1,https://www.transfermarkt.com/a-lyga/startseite/wettbewerb/LI1
INIL,https://www.transfermarkt.com/i-league/startseite/wettbewerb/INIL
A1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1
MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA
TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1
MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1
SL1,https://www.transfermarkt.com/prva-liga/startseite/wettbewerb/SL1
COLP,https://www.transfermarkt.com/liga-aguila-i/startseite/wettbewerb/COLP
GR1,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1
SC1,https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1
COL1,https://www.transfermarkt.com/liga-aguila-ii/startseite/wettbewerb/COL1
RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1
SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1
